Country,Time,Balance,Product,Value,Unit
Chile,26-Jan,Net Electricity Production,Electricity,7797.3354,GWh
Chile,26-Jan,Net Electricity Production,Hydro,1673.748,GWh
Chile,26-Jan,Net Electricity Production,Total Combustible Fuels,2757.2159,GWh
Chile,26-Jan,Net Electricity Production,"Coal, Peat and Manufactured Gases",980.4027,GWh
Chile,26-Jan,Net Electricity Production,Oil and Petroleum Products,115.594,GWh
Chile,26-Jan,Net Electricity Production,Natural Gas,1210.7653,GWh
Chile,26-Jan,Net Electricity Production,Combustible Renewables,450.4539,GWh
Chile,26-Jan,Net Electricity Production,Geothermal,9.0911,GWh
Chile,26-Jan,Net Electricity Production,Solar,2366.5266,GWh
Chile,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5490.5734,GWh
Chile,26-Jan,Distribution Losses,Electricity,502.0943,GWh
Chile,26-Jan,Final Consumption (Calculated),Electricity,7295.2411,GWh
Chile,26-Jan,Net Electricity Production,Wind,990.7537,GWh
Colombia,26-Jan,Net Electricity Production,Electricity,7686.5016,GWh
Colombia,26-Jan,Net Electricity Production,Hydro,5705.0684,GWh
Colombia,26-Jan,Net Electricity Production,Total Combustible Fuels,1488.7668,GWh
Colombia,26-Jan,Net Electricity Production,"Coal, Peat and Manufactured Gases",410.3468,GWh
Colombia,26-Jan,Net Electricity Production,Oil and Petroleum Products,256.9454,GWh
Colombia,26-Jan,Net Electricity Production,Natural Gas,718.5738,GWh
Colombia,26-Jan,Net Electricity Production,Combustible Renewables,102.9007,GWh
Colombia,26-Jan,Net Electricity Production,Solar,474.646,GWh
Colombia,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",6300.6355,GWh
Colombia,26-Jan,Total Imports,Electricity,0.0385,GWh
Colombia,26-Jan,Total Exports,Electricity,124.6933,GWh
Colombia,26-Jan,Distribution Losses,Electricity,910.3556,GWh
Colombia,26-Jan,Final Consumption (Calculated),Electricity,6651.4912,GWh
Colombia,26-Jan,Net Electricity Production,Wind,18.0205,GWh
Costa Rica,26-Jan,Remarks,Data is estimated for this month,,GWh
Costa Rica,26-Jan,Net Electricity Production,Electricity,1097.603,GWh
Costa Rica,26-Jan,Net Electricity Production,Hydro,711.2734,GWh
Costa Rica,26-Jan,Net Electricity Production,Total Combustible Fuels,36.6338,GWh
Costa Rica,26-Jan,Net Electricity Production,Oil and Petroleum Products,23.8321,GWh
Costa Rica,26-Jan,Net Electricity Production,Combustible Renewables,12.8017,GWh
Costa Rica,26-Jan,Net Electricity Production,Geothermal,131.9034,GWh
Costa Rica,26-Jan,Net Electricity Production,Solar,18.0203,GWh
Costa Rica,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",1073.7709,GWh
Costa Rica,26-Jan,Total Imports,Electricity,30.3122,GWh
Costa Rica,26-Jan,Total Exports,Electricity,11.0367,GWh
Costa Rica,26-Jan,Distribution Losses,Electricity,109.5707,GWh
Costa Rica,26-Jan,Final Consumption (Calculated),Electricity,1007.3079,GWh
Costa Rica,26-Jan,Net Electricity Production,Wind,199.772,GWh
Czech Republic,26-Jan,Net Electricity Production,Electricity,7400.6896,GWh
Czech Republic,26-Jan,Net Electricity Production,Nuclear,2586.7664,GWh
Czech Republic,26-Jan,Net Electricity Production,Hydro,203.1019,GWh
Czech Republic,26-Jan,Net Electricity Production,Total Combustible Fuels,4438.9145,GWh
Czech Republic,26-Jan,Net Electricity Production,"Coal, Peat and Manufactured Gases",3215.3368,GWh
Czech Republic,26-Jan,Net Electricity Production,Oil and Petroleum Products,5.5052,GWh
Czech Republic,26-Jan,Net Electricity Production,Natural Gas,776.3942,GWh
Czech Republic,26-Jan,Net Electricity Production,Combustible Renewables,429.162,GWh
Czech Republic,26-Jan,Net Electricity Production,Other Combustible Non-Renewables,12.5163,GWh
Czech Republic,26-Jan,Net Electricity Production,Solar,98.0585,GWh
Czech Republic,26-Jan,Net Electricity Production,Not Specified,9.9065,GWh
Czech Republic,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",794.2643,GWh
Czech Republic,26-Jan,Total Imports,Electricity,1925.1551,GWh
Czech Republic,26-Jan,Total Exports,Electricity,2707.5121,GWh
Czech Republic,26-Jan,Used for pumped storage,Electricity,140.9898,GWh
Czech Republic,26-Jan,Distribution Losses,Electricity,377.2912,GWh
Czech Republic,26-Jan,Final Consumption (Calculated),Electricity,6100.0515,GWh
Czech Republic,26-Jan,Net Electricity Production,Wind,63.9418,GWh
Denmark,26-Jan,Net Electricity Production,Electricity,4067.5533,GWh
Denmark,26-Jan,Net Electricity Production,Hydro,1.5205,GWh
Denmark,26-Jan,Net Electricity Production,Total Combustible Fuels,1392.9381,GWh
Denmark,26-Jan,Net Electricity Production,"Coal, Peat and Manufactured Gases",126.5602,GWh
Denmark,26-Jan,Net Electricity Production,Oil and Petroleum Products,38.7643,GWh
Denmark,26-Jan,Net Electricity Production,Natural Gas,165.1451,GWh
Denmark,26-Jan,Net Electricity Production,Combustible Renewables,949.1679,GWh
Denmark,26-Jan,Net Electricity Production,Other Combustible Non-Renewables,113.3007,GWh
Denmark,26-Jan,Net Electricity Production,Solar,55.081,GWh
Denmark,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",3623.7831,GWh
Denmark,26-Jan,Total Imports,Electricity,1896.569,GWh
Denmark,26-Jan,Total Exports,Electricity,1561.073,GWh
Denmark,26-Jan,Distribution Losses,Electricity,208.0228,GWh
Denmark,26-Jan,Final Consumption (Calculated),Electricity,4195.0265,GWh
Denmark,26-Jan,Net Electricity Production,Wind,2618.0138,GWh
Estonia,26-Jan,Net Electricity Production,Electricity,534.4478,GWh
Estonia,26-Jan,Net Electricity Production,Hydro,2.3956,GWh
Estonia,26-Jan,Net Electricity Production,Total Combustible Fuels,409.6093,GWh
Estonia,26-Jan,Net Electricity Production,"Coal, Peat and Manufactured Gases",259.6349,GWh
Estonia,26-Jan,Net Electricity Production,Oil and Petroleum Products,2.5518,GWh
Estonia,26-Jan,Net Electricity Production,Natural Gas,7.5551,GWh
Estonia,26-Jan,Net Electricity Production,Combustible Renewables,130.5523,GWh
Estonia,26-Jan,Net Electricity Production,Other Combustible Non-Renewables,9.3151,GWh
Estonia,26-Jan,Net Electricity Production,Solar,4.9325,GWh
Estonia,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",255.3909,GWh
Estonia,26-Jan,Total Imports,Electricity,710.5847,GWh
Estonia,26-Jan,Total Exports,Electricity,268.8519,GWh
Estonia,26-Jan,Distribution Losses,Electricity,143.271,GWh
Estonia,26-Jan,Final Consumption (Calculated),Electricity,832.9097,GWh
Estonia,26-Jan,Net Electricity Production,Wind,117.5104,GWh
Finland,26-Jan,Net Electricity Production,Electricity,8580.8715,GWh
Finland,26-Jan,Net Electricity Production,Nuclear,3126.4978,GWh
Finland,26-Jan,Net Electricity Production,Hydro,1315.6258,GWh
Finland,26-Jan,Net Electricity Production,Total Combustible Fuels,2452.9941,GWh
Finland,26-Jan,Net Electricity Production,"Coal, Peat and Manufactured Gases",249.0482,GWh
Finland,26-Jan,Net Electricity Production,Oil and Petroleum Products,37.6612,GWh
Finland,26-Jan,Net Electricity Production,Natural Gas,609.257,GWh
Finland,26-Jan,Net Electricity Production,Combustible Renewables,1515.3983,GWh
Finland,26-Jan,Net Electricity Production,Other Combustible Non-Renewables,41.6295,GWh
Finland,26-Jan,Net Electricity Production,Solar,7.9995,GWh
Finland,26-Jan,Net Electricity Production,Not Specified,17.5,GWh
Finland,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",4499.2778,GWh
Finland,26-Jan,Total Imports,Electricity,1764.8549,GWh
Finland,26-Jan,Total Exports,Electricity,585.2664,GWh
Finland,26-Jan,Distribution Losses,Electricity,354.837,GWh
Finland,26-Jan,Final Consumption (Calculated),Electricity,9405.623,GWh
Finland,26-Jan,Net Electricity Production,Wind,1660.2543,GWh
France,26-Jan,Net Electricity Production,Electricity,56476.372,GWh
France,26-Jan,Net Electricity Production,Nuclear,38336.4732,GWh
France,26-Jan,Net Electricity Production,Hydro,6394.7875,GWh
France,26-Jan,Net Electricity Production,Total Combustible Fuels,4823.3474,GWh
France,26-Jan,Net Electricity Production,Natural Gas,3543.4495,GWh
France,26-Jan,Net Electricity Production,Combustible Renewables,1096.3869,GWh
France,26-Jan,Net Electricity Production,Other Combustible Non-Renewables,183.511,GWh
France,26-Jan,Net Electricity Production,Geothermal,8.2314,GWh
France,26-Jan,Net Electricity Production,Solar,1219.8457,GWh
France,26-Jan,Net Electricity Production,Other Renewables,37.7679,GWh
France,26-Jan,Net Electricity Production,Not Specified,71.6492,GWh
France,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",14341.2891,GWh
France,26-Jan,Total Imports,Electricity,2089.5587,GWh
France,26-Jan,Total Exports,Electricity,8499.1504,GWh
France,26-Jan,Used for pumped storage,Electricity,528.0915,GWh
France,26-Jan,Distribution Losses,Electricity,4843.388,GWh
France,26-Jan,Final Consumption (Calculated),Electricity,44695.3008,GWh
France,26-Jan,Net Electricity Production,Wind,5584.2696,GWh
Germany,26-Jan,Net Electricity Production,Electricity,50392.3078,GWh
Germany,26-Jan,Net Electricity Production,Hydro,1639.0157,GWh
Germany,26-Jan,Net Electricity Production,Total Combustible Fuels,30128.1706,GWh
Germany,26-Jan,Net Electricity Production,"Coal, Peat and Manufactured Gases",11718.101,GWh
Germany,26-Jan,Net Electricity Production,Oil and Petroleum Products,371.0456,GWh
Germany,26-Jan,Net Electricity Production,Natural Gas,13475.1272,GWh
Germany,26-Jan,Net Electricity Production,Combustible Renewables,4117.4689,GWh
Germany,26-Jan,Net Electricity Production,Other Combustible Non-Renewables,446.428,GWh
Germany,26-Jan,Net Electricity Production,Geothermal,18.0305,GWh
Germany,26-Jan,Net Electricity Production,Solar,2047.4691,GWh
Germany,26-Jan,Net Electricity Production,Not Specified,208.1337,GWh
Germany,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",24173.4723,GWh
Germany,26-Jan,Total Imports,Electricity,5873.9478,GWh
Germany,26-Jan,Total Exports,Electricity,7189.1089,GWh
Germany,26-Jan,Used for pumped storage,Electricity,667.5549,GWh
Germany,26-Jan,Distribution Losses,Electricity,3045.7381,GWh
Germany,26-Jan,Final Consumption (Calculated),Electricity,45363.8536,GWh
Germany,26-Jan,Net Electricity Production,Wind,16351.4881,GWh
Greece,26-Jan,Net Electricity Production,Electricity,6231.9866,GWh
Greece,26-Jan,Net Electricity Production,Hydro,849.1013,GWh
Greece,26-Jan,Net Electricity Production,Total Combustible Fuels,3218.9026,GWh
Greece,26-Jan,Net Electricity Production,"Coal, Peat and Manufactured Gases",372.8015,GWh
Greece,26-Jan,Net Electricity Production,Oil and Petroleum Products,312.7772,GWh
Greece,26-Jan,Net Electricity Production,Natural Gas,2476.2334,GWh
Greece,26-Jan,Net Electricity Production,Combustible Renewables,52.6672,GWh
Greece,26-Jan,Net Electricity Production,Other Combustible Non-Renewables,4.4233,GWh
Greece,26-Jan,Net Electricity Production,Solar,578.8827,GWh
Greece,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",3065.7511,GWh
Greece,26-Jan,Total Imports,Electricity,73.9254,GWh
Greece,26-Jan,Total Exports,Electricity,1337.8096,GWh
Greece,26-Jan,Used for pumped storage,Electricity,27.5555,GWh
Greece,26-Jan,Distribution Losses,Electricity,613.3402,GWh
Greece,26-Jan,Final Consumption (Calculated),Electricity,4327.2067,GWh
Greece,26-Jan,Net Electricity Production,Wind,1585.1,GWh
Hungary,26-Jan,Net Electricity Production,Electricity,3172.9068,GWh
Hungary,26-Jan,Net Electricity Production,Nuclear,1268.8212,GWh
Hungary,26-Jan,Net Electricity Production,Hydro,17.8642,GWh
Hungary,26-Jan,Net Electricity Production,Total Combustible Fuels,1618.3311,GWh
Hungary,26-Jan,Net Electricity Production,"Coal, Peat and Manufactured Gases",167.1466,GWh
Hungary,26-Jan,Net Electricity Production,Oil and Petroleum Products,2.5383,GWh
Hungary,26-Jan,Net Electricity Production,Natural Gas,1235.0548,GWh
Hungary,26-Jan,Net Electricity Production,Combustible Renewables,195.0189,GWh
Hungary,26-Jan,Net Electricity Production,Other Combustible Non-Renewables,18.5725,GWh
Hungary,26-Jan,Net Electricity Production,Solar,217.882,GWh
Hungary,26-Jan,Net Electricity Production,Not Specified,10.5052,GWh
Hungary,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",470.2683,GWh
Hungary,26-Jan,Total Imports,Electricity,2295.6982,GWh
Hungary,26-Jan,Total Exports,Electricity,746.6858,GWh
Hungary,26-Jan,Distribution Losses,Electricity,306.7243,GWh
Hungary,26-Jan,Final Consumption (Calculated),Electricity,4415.1949,GWh
Hungary,26-Jan,Net Electricity Production,Wind,39.5031,GWh
Iceland,26-Jan,Remarks,Data is estimated for this month,,GWh
Iceland,26-Jan,Net Electricity Production,Electricity,1575.1967,GWh
Iceland,26-Jan,Net Electricity Production,Hydro,1146.4776,GWh
Iceland,26-Jan,Net Electricity Production,Total Combustible Fuels,0.5591,GWh
Iceland,26-Jan,Net Electricity Production,Oil and Petroleum Products,0.5591,GWh
Iceland,26-Jan,Net Electricity Production,Geothermal,426.4393,GWh
Iceland,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",1574.6376,GWh
Iceland,26-Jan,Distribution Losses,Electricity,46.0052,GWh
Iceland,26-Jan,Final Consumption (Calculated),Electricity,1529.1915,GWh
Iceland,26-Jan,Net Electricity Production,Wind,1.7208,GWh
Ireland,26-Jan,Net Electricity Production,Electricity,3048.1826,GWh
Ireland,26-Jan,Net Electricity Production,Hydro,135.4172,GWh
Ireland,26-Jan,Net Electricity Production,Total Combustible Fuels,1692.1622,GWh
Ireland,26-Jan,Net Electricity Production,Oil and Petroleum Products,9.8235,GWh
Ireland,26-Jan,Net Electricity Production,Natural Gas,1553.4521,GWh
Ireland,26-Jan,Net Electricity Production,Combustible Renewables,103.3139,GWh
Ireland,26-Jan,Net Electricity Production,Other Combustible Non-Renewables,25.5726,GWh
Ireland,26-Jan,Net Electricity Production,Solar,45.6181,GWh
Ireland,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",1459.3344,GWh
Ireland,26-Jan,Total Imports,Electricity,608.4222,GWh
Ireland,26-Jan,Total Exports,Electricity,40.0558,GWh
Ireland,26-Jan,Used for pumped storage,Electricity,56.3571,GWh
Ireland,26-Jan,Distribution Losses,Electricity,261.2214,GWh
Ireland,26-Jan,Final Consumption (Calculated),Electricity,3298.9704,GWh
Ireland,26-Jan,Net Electricity Production,Wind,1174.9851,GWh
Italy,26-Jan,Net Electricity Production,Electricity,25044.5647,GWh
Italy,26-Jan,Net Electricity Production,Hydro,2653.044,GWh
Italy,26-Jan,Net Electricity Production,Total Combustible Fuels,17160.4077,GWh
Italy,26-Jan,Net Electricity Production,"Coal, Peat and Manufactured Gases",559.0047,GWh
Italy,26-Jan,Net Electricity Production,Oil and Petroleum Products,1006.1792,GWh
Italy,26-Jan,Net Electricity Production,Natural Gas,13909.4348,GWh
Italy,26-Jan,Net Electricity Production,Combustible Renewables,1413.7921,GWh
Italy,26-Jan,Net Electricity Production,Other Combustible Non-Renewables,271.9969,GWh
Italy,26-Jan,Net Electricity Production,Geothermal,445.5551,GWh
Italy,26-Jan,Net Electricity Production,Solar,1729.4687,GWh
Italy,26-Jan,Net Electricity Production,Not Specified,61.2692,GWh
Italy,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",9236.6799,GWh
Italy,26-Jan,Total Imports,Electricity,3775.2405,GWh
Italy,26-Jan,Total Exports,Electricity,597.2385,GWh
Italy,26-Jan,Used for pumped storage,Electricity,383.0514,GWh
Italy,26-Jan,Distribution Losses,Electricity,1722.9149,GWh
Italy,26-Jan,Final Consumption (Calculated),Electricity,26116.6003,GWh
Italy,26-Jan,Net Electricity Production,Wind,2994.82,GWh
Japan,26-Jan,Remarks,Data is estimated for this month,,GWh
Japan,26-Jan,Net Electricity Production,Electricity,90490.705,GWh
Japan,26-Jan,Net Electricity Production,Nuclear,8926.1107,GWh
Japan,26-Jan,Net Electricity Production,Hydro,4922.1431,GWh
Japan,26-Jan,Net Electricity Production,Total Combustible Fuels,67416.4806,GWh
Japan,26-Jan,Net Electricity Production,"Coal, Peat and Manufactured Gases",29306.6493,GWh
Japan,26-Jan,Net Electricity Production,Oil and Petroleum Products,2825.0793,GWh
Japan,26-Jan,Net Electricity Production,Natural Gas,28304,GWh
Japan,26-Jan,Net Electricity Production,Combustible Renewables,4701.7186,GWh
Japan,26-Jan,Net Electricity Production,Other Combustible Non-Renewables,2279.0333,GWh
Japan,26-Jan,Net Electricity Production,Geothermal,298.4107,GWh
Japan,26-Jan,Net Electricity Production,Solar,6448.0922,GWh
Japan,26-Jan,Net Electricity Production,Not Specified,1282.4972,GWh
Japan,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",17567.3351,GWh
Japan,26-Jan,Used for pumped storage,Electricity,1048.8526,GWh
Japan,26-Jan,Distribution Losses,Electricity,4348.4763,GWh
Japan,26-Jan,Final Consumption (Calculated),Electricity,85093.3761,GWh
Japan,26-Jan,Net Electricity Production,Wind,1196.9706,GWh
Korea,26-Jan,Net Electricity Production,Electricity,58774.9647,GWh
Korea,26-Jan,Net Electricity Production,Nuclear,13923.7138,GWh
Korea,26-Jan,Net Electricity Production,Hydro,503.7269,GWh
Korea,26-Jan,Net Electricity Production,Total Combustible Fuels,39364.4082,GWh
Korea,26-Jan,Net Electricity Production,"Coal, Peat and Manufactured Gases",19522.5654,GWh
Korea,26-Jan,Net Electricity Production,Oil and Petroleum Products,468.9152,GWh
Korea,26-Jan,Net Electricity Production,Natural Gas,18007.6979,GWh
Korea,26-Jan,Net Electricity Production,Combustible Renewables,1041.7244,GWh
Korea,26-Jan,Net Electricity Production,Other Combustible Non-Renewables,323.5053,GWh
Korea,26-Jan,Net Electricity Production,Solar,3329.9293,GWh
Korea,26-Jan,Net Electricity Production,Other Renewables,0.002,GWh
Korea,26-Jan,Net Electricity Production,Not Specified,1064.0952,GWh
Korea,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5464.4719,GWh
Korea,26-Jan,Used for pumped storage,Electricity,384.9428,GWh
Korea,26-Jan,Distribution Losses,Electricity,1832.206,GWh
Korea,26-Jan,Final Consumption (Calculated),Electricity,56557.816,GWh
Korea,26-Jan,Net Electricity Production,Wind,589.0893,GWh
Latvia,26-Jan,Net Electricity Production,Electricity,739.9759,GWh
Latvia,26-Jan,Net Electricity Production,Hydro,164.0723,GWh
Latvia,26-Jan,Net Electricity Production,Total Combustible Fuels,548.7708,GWh
Latvia,26-Jan,Net Electricity Production,Natural Gas,496.2487,GWh
Latvia,26-Jan,Net Electricity Production,Combustible Renewables,52.5221,GWh
Latvia,26-Jan,Net Electricity Production,Solar,6.1951,GWh
Latvia,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",243.7272,GWh
Latvia,26-Jan,Total Imports,Electricity,352.078,GWh
Latvia,26-Jan,Total Exports,Electricity,342.9592,GWh
Latvia,26-Jan,Distribution Losses,Electricity,38.3438,GWh
Latvia,26-Jan,Final Consumption (Calculated),Electricity,710.7509,GWh
Latvia,26-Jan,Net Electricity Production,Wind,20.9377,GWh
Lithuania,26-Jan,Net Electricity Production,Electricity,1093.0451,GWh
Lithuania,26-Jan,Net Electricity Production,Hydro,63.414,GWh
Lithuania,26-Jan,Net Electricity Production,Total Combustible Fuels,322.7631,GWh
Lithuania,26-Jan,Net Electricity Production,Oil and Petroleum Products,27.2536,GWh
Lithuania,26-Jan,Net Electricity Production,Natural Gas,167.6676,GWh
Lithuania,26-Jan,Net Electricity Production,Combustible Renewables,115.9228,GWh
Lithuania,26-Jan,Net Electricity Production,Other Combustible Non-Renewables,11.9191,GWh
Lithuania,26-Jan,Net Electricity Production,Solar,114.2865,GWh
Lithuania,26-Jan,Net Electricity Production,Not Specified,15.5546,GWh
Lithuania,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",870.6502,GWh
Lithuania,26-Jan,Total Imports,Electricity,750.124,GWh
Lithuania,26-Jan,Total Exports,Electricity,221.2923,GWh
Lithuania,26-Jan,Used for pumped storage,Electricity,56.0734,GWh
Lithuania,26-Jan,Distribution Losses,Electricity,107.2188,GWh
Lithuania,26-Jan,Final Consumption (Calculated),Electricity,1458.5846,GWh
Lithuania,26-Jan,Net Electricity Production,Wind,577.0269,GWh
Luxembourg,26-Jan,Net Electricity Production,Electricity,137.8375,GWh
Luxembourg,26-Jan,Net Electricity Production,Hydro,59.8682,GWh
Luxembourg,26-Jan,Net Electricity Production,Total Combustible Fuels,26.1604,GWh
Luxembourg,26-Jan,Net Electricity Production,Natural Gas,6.5049,GWh
Luxembourg,26-Jan,Net Electricity Production,Combustible Renewables,13.815,GWh
Luxembourg,26-Jan,Net Electricity Production,Other Combustible Non-Renewables,5.8405,GWh
Luxembourg,26-Jan,Net Electricity Production,Solar,4.812,GWh
Luxembourg,26-Jan,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",125.4921,GWh
Luxembourg,26-Jan,Total Imports,Electricity,522.5751,GWh
Luxembourg,26-Jan,Total Exports,Electricity,53.8299,GWh
Luxembourg,26-Jan,Used for pumped storage,Electricity,66.678,GWh
Luxembourg,26-Jan,Distribution Losses,Electricity,9.0273,GWh
Luxembourg,26-Jan,Final Consumption (Calculated),Electricity,530.8773,GWh
Luxembourg,26-Jan,Net Electricity Production,Wind,46.9969,GWh
Mexico,26-Jan,Net Electricity Production,Electricity,27173.6456,GWh
Mexico,26-Jan,Net Electricity Production,Nuclear,1075.3425,GWh
Mexico,26-Jan,Net Electricity Production,Hydro,1821.1815,GWh
Mexico,26-Jan,Net Electricity Production,Total Combustible Fuels,20117.0177,GWh
Mexico,26-Jan,Net Electricity Production,"Coal, Peat and Manufactured Gases",1632.7651,GWh
Mexico,26-Jan,Net Electricity Production,Oil and Petroleum Products,1815.2036,GWh
Mexico,26-Jan,Net Electricity Production,Natural Gas,16506.2118,GWh
Mexico,26-Jan,Net Electricity Production,Combustible Renewables,146.0982,GWh
Mexico,26-Jan,Net Electricity Production,Other Combustible Non-Renewables,16.739,GWh
Mexico,26-Jan,Net Electricity Production,Geothermal,282.2861,GWh
Mexico,26-Jan,Net Electricity Production,Solar,1530.0591,GWh
